StartTime,EndTime,FlowID,FlowMeter,FlowType,RecShipID,InService,MeasMass,MeasLiqVol,MeasGasVol,MeasGasLiqVol,RecMass,RecLiqVol,RecGasVol,RecGasLiqVol,ProductDensity,ProductMolecularWeight,LiquidDensity,GasMolecularWeight,Product,ProductDesc,ProductCategory,ProductFamily,ProductGroup,ProductSortIndex,TrackingGroup,PhysicalState,IsCharge,RecShipSrc,RecShipDest,SourceCC,DestinationCC,FlowCC,TankOpenVol,TankOpenMass,TankCloseVol,TankCloseMass,TankStatus,TankDensity,TankCloseRecMass,TankCloseRecVol,OpenFlag,CloseFlag
12/17/2020 0:00,12/17/2020 23:59,TT_121720_0029,TT_121720_0029,R,R_SourCrude_PL,IS,12215543.95,38024,0,0,11635383.16,36218.1014,0,0,23.60000038,,22.73,0,ASPH_SOUR,Asphalt Unit Crude,010 Crudes,ASPHALT SOUR,SWC,2,CRU,LIQUID,Y,R_SourCrude_PL,TK776,,West_Plt,West_Plt,0,0,0,0,,0,0,0,N,N
12/18/2020 0:00,12/18/2020 23:59,TT_121820_0026,TT_121820_0026,R,R_SourCrude_PL,IS,11917426.17,37173,0,0,11389696.36,35526.89789,0,0,23.60000038,,23.05,0,ASPH_SOUR,Asphalt Unit Crude,010 Crudes,ASPHALT SOUR,SWC,2,CRU,LIQUID,Y,R_SourCrude_PL,TK776,,West_Plt,West_Plt,0,0,0,0,,0,0,0,N,N
12/19/2020 0:00,12/19/2020 23:59,TT_121920_0027,TT_121920_0027,R,R_SourCrude_PL,IS,12174688.81,37973,0,0,11777342.69,36733.67272,0,0,23.60000038,,23.04,0,ASPH_SOUR,Asphalt Unit Crude,010 Crudes,ASPHALT SOUR,SWC,2,CRU,LIQUID,Y,R_SourCrude_PL,TK776,,West_Plt,West_Plt,0,0,0,0,,0,0,0,N,N
12/20/2020 0:00,12/20/2020 23:59,TT_122020_0025,TT_122020_0025,R,R_SourCrude_PL,IS,11775982.71,36651,0,0,11489648.51,35759.82728,0,0,23.60000038,,22.71,0,ASPH_SOUR,Asphalt Unit Crude,010 Crudes,ASPHALT SOUR,SWC,2,CRU,LIQUID,Y,R_SourCrude_PL,TK776,,West_Plt,West_Plt,0,0,0,0,,0,0,0,N,N
12/21/2020 0:00,12/21/2020 23:59,TT_122120_0022,TT_122120_0022,R,R_SourCrude_PL,IS,11241697.97,35004,0,0,10961683.5,34132.10091,0,0,23.60000038,,22.78,0,ASPH_SOUR,Asphalt Unit Crude,010 Crudes,ASPHALT SOUR,SWC,2,CRU,LIQUID,Y,R_SourCrude_PL,TK776,,West_Plt,West_Plt,0,0,0,0,,0,0,0,N,N
12/22/2020 0:00,12/22/2020 23:59,TT_122220_0025,TT_122220_0025,R,R_SourCrude_PL,IS,10798998.64,33619,0,0,10095985.42,31430.40808,0,0,23.60000038,,22.75,0,ASPH_SOUR,Asphalt Unit Crude,010 Crudes,ASPHALT SOUR,SWC,2,CRU,LIQUID,Y,R_SourCrude_PL,TK776,,West_Plt,West_Plt,0,0,0,0,,0,0,0,N,N
12/23/2020 0:00,12/23/2020 23:59,TT_122320_0031,TT_122320_0031,R,R_SourCrude_PL,IS,11649365.85,36311,0,0,11002402.69,34294.4199,0,0,23.60000038,,22.94,0,ASPH_SOUR,Asphalt Unit Crude,010 Crudes,ASPHALT SOUR,SWC,2,CRU,LIQUID,Y,R_SourCrude_PL,TK776,,West_Plt,West_Plt,0,0,0,0,,0,0,0,N,N
12/24/2020 0:00,12/24/2020 23:59,TT_122420_0029,TT_122420_0029,R,R_SourCrude_PL,IS,12649930.48,39634,0,0,12129686.41,38004.00261,0,0,23.60000038,,23.74,0,ASPH_SOUR,Asphalt Unit Crude,010 Crudes,ASPHALT SOUR,SWC,2,CRU,LIQUID,Y,R_SourCrude_PL,TK776,,West_Plt,West_Plt,0,0,0,0,,0,0,0,N,N
12/25/2020 0:00,12/25/2020 23:59,TT_122520_0022,TT_122520_0022,R,R_SourCrude_PL,IS,11993981.71,37436,0,0,11366528.74,35477.57371,0,0,23.60000038,,23.15,0,ASPH_SOUR,Asphalt Unit Crude,010 Crudes,ASPHALT SOUR,SWC,2,CRU,LIQUID,Y,R_SourCrude_PL,TK776,,West_Plt,West_Plt,0,0,0,0,,0,0,0,N,N
12/26/2020 0:00,12/26/2020 23:59,TT_122620_0025,TT_122620_0025,R,R_SourCrude_PL,IS,11019692.24,34375,0,0,10596269.85,33054.16958,0,0,23.60000038,,23.06,0,ASPH_SOUR,Asphalt Unit Crude,010 Crudes,ASPHALT SOUR,SWC,2,CRU,LIQUID,Y,R_SourCrude_PL,TK776,,West_Plt,West_Plt,0,0,0,0,,0,0,0,N,N
