site,tag,alias,datetime,value,avgvalue,strvalue,quality
mtphd,17R0651_MAT_PT,17R0651 Product code,2021-04-17T00:00:00.000Z,"""""","""""",41EXT_EXTRAIT,0
mtphd,17R0651_NV_PT,17R0651 Net Volume,2021-04-17T00:00:00.000Z,1916.324951,1936.486383,"""""",0
mtphd,17R0652_MAT_PT,17R0652 Product code,2021-04-17T00:00:00.000Z,"""""","""""",BENZENE,0
mtphd,17R0652_NV_PT,17R0652 Net Volume,2021-04-17T00:00:00.000Z,1527.367554,1346.650193,"""""",0
mtphd,17R0653_MAT_PT,17R0653 Product code,2021-04-17T00:00:00.000Z,"""""","""""",BENZENE,0
mtphd,17R0653_NV_PT,17R0653 Net Volume,2021-04-17T00:00:00.000Z,3148.554199,4022.524551,"""""",0
mtphd,17R0671_MAT_PT,17R0671 Product code,2021-04-17T00:00:00.000Z,"""""","""""",GAZOLE,0
mtphd,17R0671_NV_PT,17R0671 Net Volume,2021-04-17T00:00:00.000Z,4636.378418,4668.146387,"""""",0
mtphd,17R0801_MAT_PT,17R0801 Product code,2021-04-17T00:00:00.000Z,"""""","""""",SUPER,0
mtphd,17R0801_NV_PT,17R0801 Net Volume,2021-04-17T00:00:00.000Z,41561.08594,37351.81739,"""""",0
mtphd,17R0802_MAT_PT,17R0802 Product code,2021-04-17T00:00:00.000Z,"""""","""""",SUPER,0
mtphd,17R0802_NV_PT,17R0802 Net Volume,2021-04-17T00:00:00.000Z,26760.17578,26887.2717,"""""",0
mtphd,17R0803_MAT_PT,17R0803 Product code,2021-04-17T00:00:00.000Z,"""""","""""",RBOB_10,0
mtphd,17R0803_NV_PT,17R0803 Net Volume,2021-04-17T00:00:00.000Z,12290.91797,12270.45191,"""""",0
mtphd,17R0804_MAT_PT,17R0804 Product code,2021-04-17T00:00:00.000Z,"""""","""""",NAPHTA_LUB,0
mtphd,17R0804_NV_PT,17R0804 Net Volume,2021-04-17T00:00:00.000Z,28959.93359,28479.45874,"""""",0
mtphd,17R0806_MAT_PT,17R0806 Product code,2021-04-17T00:00:00.000Z,"""""","""""",RBOB_10,0
mtphd,17R0806_NV_PT,17R0806 Net Volume,2021-04-17T00:00:00.000Z,23278.39844,19947.14861,"""""",0
mtphd,17R0807_MAT_PT,17R0807 Product code,2021-04-17T00:00:00.000Z,"""""","""""",RBOB_10,0
mtphd,17R0807_NV_PT,17R0807 Net Volume,2021-04-17T00:00:00.000Z,60614.49609,61751.35903,"""""",0
mtphd,17R0808_MAT_PT,17R0808 Product code,2021-04-17T00:00:00.000Z,"""""","""""",GAZOLE,0
mtphd,17R0808_NV_PT,17R0808 Net Volume,2021-04-17T00:00:00.000Z,32977.08594,31811.79423,"""""",0
mtphd,17R0813_MAT_PT,17R0813 Product code,2021-04-17T00:00:00.000Z,"""""","""""",GAZOLE,0
mtphd,17R0813_NV_PT,17R0813 Net Volume,2021-04-17T00:00:00.000Z,52076.27734,53951.91777,"""""",0
mtphd,17R0814_MAT_PT,17R0814 Product code,2021-04-17T00:00:00.000Z,"""""","""""",DIESEL_SAISN_FTS,0
mtphd,17R0814_NV_PT,17R0814 Net Volume,2021-04-17T00:00:00.000Z,71828.60938,71831.04058,"""""",0
mtphd,17R0871_MAT_PT,17R0871 Product code,2021-04-17T00:00:00.000Z,"""""","""""",TOLUENE,0
mtphd,17R0871_NV_PT,17R0871 Net Volume,2021-04-17T00:00:00.000Z,22598.49219,22579.36812,"""""",0
mtphd,17R0873_MAT_PT,17R0873 Product code,2021-04-17T00:00:00.000Z,"""""","""""",GAZOLE,0
mtphd,17R0873_NV_PT,17R0873 Net Volume,2021-04-17T00:00:00.000Z,7770.745117,7803.077536,"""""",0
mtphd,17R0874_MAT_PT,17R0874 Product code,2021-04-17T00:00:00.000Z,"""""","""""",GAZOLE,0
mtphd,17R0874_NV_PT,17R0874 Net Volume,2021-04-17T00:00:00.000Z,43352.12891,43373.7169,"""""",0
