site,tag,alias,datetime,value,avgvalue,strvalue,quality
edphd,TK283.MATERIAL,Tank 283 Product code,2021-04-16T00:00:00.000Z,"""""","""""",NBUT,0
edphd,TK283.MATERIAL,Tank 283 Product code,2021-04-17T00:00:00.000Z,"""""","""""",NBUT,0
edphd,TK283.VOLUME,Tank 283 Volume,2021-04-16T00:00:00.000Z,4187.114746,4187.114746,"""""",0
edphd,TK283.VOLUME,Tank 283 Volume,2021-04-17T00:00:00.000Z,4306.977051,4138.877882,"""""",0
edphd,TK284.MATERIAL,Tank 284 Product code,2021-04-16T00:00:00.000Z,"""""","""""",FBUT,0
edphd,TK284.MATERIAL,Tank 284 Product code,2021-04-17T00:00:00.000Z,"""""","""""",FBUT,0
edphd,TK284.VOLUME,Tank 284 Volume,2021-04-16T00:00:00.000Z,4313.928711,4313.928711,"""""",0
edphd,TK284.VOLUME,Tank 284 Volume,2021-04-17T00:00:00.000Z,3172.675049,4555.183488,"""""",0
edphd,TK293.MATERIAL,Tank 293 Product code,2021-04-16T00:00:00.000Z,"""""","""""",PROP,0
edphd,TK293.MATERIAL,Tank 293 Product code,2021-04-17T00:00:00.000Z,"""""","""""",PROP,0
edphd,TK293.VOLUME,Tank 293 Volume,2021-04-16T00:00:00.000Z,1448.616577,1448.616577,"""""",0
edphd,TK293.VOLUME,Tank 293 Volume,2021-04-17T00:00:00.000Z,1437.409058,1432.331039,"""""",0
edphd,TK300.MATERIAL,Tank 300 Product code,2021-04-16T00:00:00.000Z,"""""","""""",ULSD,0
edphd,TK300.MATERIAL,Tank 300 Product code,2021-04-17T00:00:00.000Z,"""""","""""",ULSD,0
edphd,TK300.VOLUME,Tank 300 Volume,2021-04-16T00:00:00.000Z,66971.0625,66971.0625,"""""",0
edphd,TK300.VOLUME,Tank 300 Volume,2021-04-17T00:00:00.000Z,149959.2031,109661.0594,"""""",0
edphd,TK301.MATERIAL,Tank 301 Product code,2021-04-16T00:00:00.000Z,"""""","""""",ULSD,0
edphd,TK301.MATERIAL,Tank 301 Product code,2021-04-17T00:00:00.000Z,"""""","""""",ULSD,0
edphd,TK301.VOLUME,Tank 301 Volume,2021-04-16T00:00:00.000Z,162464.7344,162464.7344,"""""",0
edphd,TK301.VOLUME,Tank 301 Volume,2021-04-17T00:00:00.000Z,129034.0234,148895.6209,"""""",0
edphd,TK302.MATERIAL,Tank 302 Product code,2021-04-16T00:00:00.000Z,"""""","""""",JETA,0
edphd,TK302.MATERIAL,Tank 302 Product code,2021-04-17T00:00:00.000Z,"""""","""""",JETA,0
edphd,TK302.VOLUME,Tank 302 Volume,2021-04-16T00:00:00.000Z,162398.2188,162398.2188,"""""",0
edphd,TK302.VOLUME,Tank 302 Volume,2021-04-17T00:00:00.000Z,162457.1563,162429.4611,"""""",0
edphd,TK303.MATERIAL,Tank 303 Product code,2021-04-16T00:00:00.000Z,"""""","""""",D50,0
edphd,TK303.MATERIAL,Tank 303 Product code,2021-04-17T00:00:00.000Z,"""""","""""",D50,0
edphd,TK303.VOLUME,Tank 303 Volume,2021-04-16T00:00:00.000Z,91911.61719,91911.61719,"""""",0
edphd,TK303.VOLUME,Tank 303 Volume,2021-04-17T00:00:00.000Z,72834.32031,82421.05616,"""""",0
edphd,TK310.MATERIAL,Tank 310 Product code,2021-04-16T00:00:00.000Z,"""""","""""",ULSD,0
edphd,TK310.MATERIAL,Tank 310 Product code,2021-04-17T00:00:00.000Z,"""""","""""",ULSD,0
edphd,TK310.VOLUME,Tank 310 Volume,2021-04-16T00:00:00.000Z,149362.8125,149362.8125,"""""",0
edphd,TK310.VOLUME,Tank 310 Volume,2021-04-17T00:00:00.000Z,149362.8125,149367.4802,"""""",0
edphd,TK311.MATERIAL,Tank 311 Product code,2021-04-16T00:00:00.000Z,"""""","""""",RGUA,0
edphd,TK311.MATERIAL,Tank 311 Product code,2021-04-17T00:00:00.000Z,"""""","""""",RGUA,0
edphd,TK311.VOLUME,Tank 311 Volume,2021-04-16T00:00:00.000Z,79937.03125,79937.03125,"""""",0
edphd,TK311.VOLUME,Tank 311 Volume,2021-04-17T00:00:00.000Z,88530.42969,84289.87231,"""""",0
edphd,TK312.MATERIAL,Tank 312 Product code,2021-04-16T00:00:00.000Z,"""""","""""",SUPB,0
edphd,TK312.MATERIAL,Tank 312 Product code,2021-04-17T00:00:00.000Z,"""""","""""",SUPB,0
edphd,TK312.VOLUME,Tank 312 Volume,2021-04-16T00:00:00.000Z,39082.53516,39082.53516,"""""",0
edphd,TK312.VOLUME,Tank 312 Volume,2021-04-17T00:00:00.000Z,39093.57031,39086.00647,"""""",0
edphd,TK313.MATERIAL,Tank 313 Product code,2021-04-16T00:00:00.000Z,"""""","""""",SUPB,0
edphd,TK313.MATERIAL,Tank 313 Product code,2021-04-17T00:00:00.000Z,"""""","""""",SUPB,0
edphd,TK313.VOLUME,Tank 313 Volume,2021-04-16T00:00:00.000Z,33412.30469,33412.30469,"""""",0
edphd,TK313.VOLUME,Tank 313 Volume,2021-04-17T00:00:00.000Z,40465.01172,36860.49832,"""""",0
edphd,TK314.MATERIAL,Tank 314 Product code,2021-04-16T00:00:00.000Z,"""""","""""",HIOCT,0
edphd,TK314.MATERIAL,Tank 314 Product code,2021-04-17T00:00:00.000Z,"""""","""""",HIOCT,0
edphd,TK314.VOLUME,Tank 314 Volume,2021-04-16T00:00:00.000Z,77954,77954,"""""",0
edphd,TK314.VOLUME,Tank 314 Volume,2021-04-17T00:00:00.000Z,78008.45313,77977.1217,"""""",0
edphd,TK315.MATERIAL,Tank 315 Product code,2021-04-16T00:00:00.000Z,"""""","""""",RGUB,0
edphd,TK315.MATERIAL,Tank 315 Product code,2021-04-17T00:00:00.000Z,"""""","""""",RGUB,0
edphd,TK315.VOLUME,Tank 315 Volume,2021-04-16T00:00:00.000Z,120850.1797,120850.1797,"""""",0
edphd,TK315.VOLUME,Tank 315 Volume,2021-04-17T00:00:00.000Z,122555.6875,127329.9315,"""""",0
edphd,TK316.MATERIAL,Tank 316 Product code,2021-04-16T00:00:00.000Z,"""""","""""",RGUB,0
edphd,TK316.MATERIAL,Tank 316 Product code,2021-04-17T00:00:00.000Z,"""""","""""",RGUB,0
edphd,TK316.VOLUME,Tank 316 Volume,2021-04-16T00:00:00.000Z,151806.8125,151806.8125,"""""",0
edphd,TK316.VOLUME,Tank 316 Volume,2021-04-17T00:00:00.000Z,151806.8125,151805.6963,"""""",0
edphd,TK320.MATERIAL,Tank 320 Product code,2021-04-16T00:00:00.000Z,"""""","""""",SBOB,0
edphd,TK320.MATERIAL,Tank 320 Product code,2021-04-17T00:00:00.000Z,"""""","""""",SBOB,0
edphd,TK320.VOLUME,Tank 320 Volume,2021-04-16T00:00:00.000Z,20489.8457,20489.8457,"""""",0
edphd,TK320.VOLUME,Tank 320 Volume,2021-04-17T00:00:00.000Z,19037.70508,19433.8096,"""""",0
edphd,TK321.MATERIAL,Tank 321 Product code,2021-04-16T00:00:00.000Z,"""""","""""",SBOB,0
edphd,TK321.MATERIAL,Tank 321 Product code,2021-04-17T00:00:00.000Z,"""""","""""",SBOB,0
edphd,TK321.VOLUME,Tank 321 Volume,2021-04-16T00:00:00.000Z,26470.44727,26470.44727,"""""",0
edphd,TK321.VOLUME,Tank 321 Volume,2021-04-17T00:00:00.000Z,26466.07031,26466.48184,"""""",0
edphd,TK322.MATERIAL,Tank 322 Product code,2021-04-16T00:00:00.000Z,"""""","""""",RBOB,0
edphd,TK322.MATERIAL,Tank 322 Product code,2021-04-17T00:00:00.000Z,"""""","""""",RBOB,0
edphd,TK322.VOLUME,Tank 322 Volume,2021-04-16T00:00:00.000Z,68694.92969,68694.92969,"""""",0
edphd,TK322.VOLUME,Tank 322 Volume,2021-04-17T00:00:00.000Z,65970.00781,67974.91268,"""""",0
edphd,TK323.MATERIAL,Tank 323 Product code,2021-04-16T00:00:00.000Z,"""""","""""",RGUM,0
edphd,TK323.MATERIAL,Tank 323 Product code,2021-04-17T00:00:00.000Z,"""""","""""",RGUM,0
edphd,TK323.VOLUME,Tank 323 Volume,2021-04-16T00:00:00.000Z,57493.78906,57493.78906,"""""",0
edphd,TK323.VOLUME,Tank 323 Volume,2021-04-17T00:00:00.000Z,57041.43359,57046.80946,"""""",0
edphd,TK324.MATERIAL,Tank 324 Product code,2021-04-16T00:00:00.000Z,"""""","""""",ULSD,0
edphd,TK324.MATERIAL,Tank 324 Product code,2021-04-17T00:00:00.000Z,"""""","""""",ULSD,0
edphd,TK324.VOLUME,Tank 324 Volume,2021-04-16T00:00:00.000Z,193342.4375,193342.4375,"""""",0
edphd,TK324.VOLUME,Tank 324 Volume,2021-04-17T00:00:00.000Z,193318.9688,193340.0771,"""""",0
edphd,TK325.MATERIAL,Tank 325 Product code,2021-04-16T00:00:00.000Z,"""""","""""",ULSD,0
edphd,TK325.MATERIAL,Tank 325 Product code,2021-04-17T00:00:00.000Z,"""""","""""",ULSD,0
edphd,TK325.VOLUME,Tank 325 Volume,2021-04-16T00:00:00.000Z,191872.5938,191872.5938,"""""",0
edphd,TK325.VOLUME,Tank 325 Volume,2021-04-17T00:00:00.000Z,191872.5938,191885.342,"""""",0
edphd,TK326.MATERIAL,Tank 326 Product code,2021-04-16T00:00:00.000Z,"""""","""""",REFF,0
edphd,TK326.MATERIAL,Tank 326 Product code,2021-04-17T00:00:00.000Z,"""""","""""",REFF,0
edphd,TK326.VOLUME,Tank 326 Volume,2021-04-16T00:00:00.000Z,30811.2207,30811.2207,"""""",0
edphd,TK326.VOLUME,Tank 326 Volume,2021-04-17T00:00:00.000Z,30833.98242,30827.01488,"""""",0
edphd,TK327.MATERIAL,Tank 327 Product code,2021-04-16T00:00:00.000Z,"""""","""""",ULSD,0
edphd,TK327.MATERIAL,Tank 327 Product code,2021-04-17T00:00:00.000Z,"""""","""""",ULSD,0
edphd,TK327.VOLUME,Tank 327 Volume,2021-04-16T00:00:00.000Z,195635.9219,195635.9219,"""""",0
edphd,TK327.VOLUME,Tank 327 Volume,2021-04-17T00:00:00.000Z,195588.75,195628.2843,"""""",0
edphd,TK401.MATERIAL,Tank 401 Product code,2021-04-16T00:00:00.000Z,"""""","""""",ULSD,0
edphd,TK401.MATERIAL,Tank 401 Product code,2021-04-17T00:00:00.000Z,"""""","""""",ULSD,0
edphd,TK401.VOLUME,Tank 401 Volume,2021-04-16T00:00:00.000Z,40348.54297,40348.54297,"""""",0
edphd,TK401.VOLUME,Tank 401 Volume,2021-04-17T00:00:00.000Z,38376.35938,36950.28361,"""""",0
edphd,TK402.MATERIAL,Tank 402 Product code,2021-04-16T00:00:00.000Z,"""""","""""",ULSD,0
