Material,StandardUnit,ToUnit,Factor
1000000422,EA,EA,1
1000000423,EA,EA,1
1000000424,EA,EA,1
1000000425,EA,EA,1
1000000426,EA,EA,1
1000000427,EA,EA,1
1000000428,EA,EA,1
1000000429,EA,EA,1
1000000430,EA,EA,1
1000000431,EA,EA,1
1000000432,EA,EA,1
1000000433,EA,EA,1
1000000434,EA,EA,1
1000000435,EA,EA,1
1000000436,EA,EA,1
1000000437,EA,EA,1
1000000438,EA,EA,1
1000000439,EA,EA,1
1000000440,EA,EA,1
1000000441,EA,EA,1
1000000442,EA,EA,1
1000000443,EA,EA,1
1000000444,EA,EA,1
1000000445,EA,EA,1
1000000446,EA,EA,1
1000000447,EA,EA,1
1000000448,EA,EA,1
1000000449,EA,EA,1
1000000450,EA,EA,1
1000000451,EA,EA,1
1000000452,EA,EA,1
1000000453,EA,EA,1
1000000454,EA,EA,1
1000000455,EA,EA,1
1000000456,EA,EA,1
1000000457,EA,EA,1
1000000458,EA,EA,1
1000000459,EA,EA,1
1000000460,EA,EA,1
1000000461,EA,EA,1
1000000462,EA,EA,1
1000000463,EA,EA,1
1000000464,EA,EA,1
1000000465,EA,EA,1
1000000466,EA,EA,1
1000000467,EA,EA,1
1000000468,EA,EA,1
1000000469,EA,EA,1
1000000470,EA,EA,1
1000000471,EA,EA,1
1000000472,EA,EA,1
1000000473,EA,EA,1
1000000474,EA,EA,1
1000000475,EA,EA,1
1000000476,EA,EA,1
1000000477,EA,EA,1
1000000478,EA,EA,1
1000000479,EA,EA,1
1000000480,EA,EA,1
1000000481,EA,EA,1
1000000482,EA,EA,1
1000000483,EA,EA,1
1000000484,EA,EA,1
1000000485,EA,EA,1
1000000486,EA,EA,1
1000000487,EA,EA,1
1000000488,EA,EA,1
1000000489,EA,EA,1
1000000490,EA,EA,1
1000000491,EA,EA,1
1000000492,EA,EA,1
1000000493,EA,EA,1
1000000494,EA,EA,1
1000000495,EA,EA,1
1000000496,EA,EA,1
1000000497,EA,EA,1
1000000498,EA,EA,1
1000000499,EA,EA,1
1000000500,EA,EA,1
1000000501,EA,EA,1
1000000502,EA,EA,1
1000000503,EA,EA,1
1000000504,EA,EA,1
1000000505,EA,EA,1
1000000506,EA,EA,1
1000000507,EA,EA,1
1000000508,EA,EA,1
1000000509,EA,EA,1
1000000510,EA,EA,1
1000000511,EA,EA,1
1000000512,EA,EA,1
1000000513,EA,EA,1
1000000514,EA,EA,1
1000000515,EA,EA,1
1000000516,EA,EA,1
1000000517,EA,EA,1
1000000518,EA,EA,1
1000000519,EA,EA,1
1000000520,EA,EA,1
1000000521,EA,EA,1
1000000522,EA,EA,1
1000000523,EA,EA,1
1000000524,EA,EA,1
1000000525,SET,SET,1
1000000526,EA,EA,1
1000000527,EA,EA,1
1000000528,EA,EA,1
1000000529,EA,EA,1
1000000530,EA,EA,1
1000000531,EA,EA,1
1000000532,EA,EA,1
1000000533,EA,EA,1
1000000534,EA,EA,1
1000000535,EA,EA,1
1000000536,EA,EA,1
1000000537,EA,EA,1
1000000538,EA,EA,1
1000000539,EA,EA,1
1000000540,EA,EA,1
1000000541,EA,EA,1
1000000542,EA,EA,1
1000000543,EA,EA,1
1000000544,EA,EA,1
1000000545,EA,EA,1
1000000546,EA,EA,1
1000000547,EA,EA,1
1000000548,EA,EA,1
1000000549,EA,EA,1
1000000550,EA,EA,1
1000000551,EA,EA,1
1000000552,EA,EA,1
1000000553,EA,EA,1
1000000554,EA,EA,1
1000000555,EA,EA,1
1000000556,EA,EA,1
1000000557,EA,EA,1
1000000558,EA,EA,1
1000000559,EA,EA,1
1000000560,EA,EA,1
1000000561,EA,EA,1
1000000562,EA,EA,1
1000000563,EA,EA,1
1000000564,EA,EA,1
1000000565,EA,EA,1
1000000566,EA,EA,1
1000000567,EA,EA,1
1000000568,EA,EA,1
1000000569,EA,EA,1
1000000570,EA,EA,1
1000000571,EA,EA,1
1000000572,EA,EA,1
1000000573,EA,EA,1
1000000574,EA,EA,1
1000000575,EA,EA,1
1000000576,EA,EA,1
1000000577,EA,EA,1
1000000578,EA,EA,1
1000000579,EA,EA,1
1000000580,EA,EA,1
1000000581,EA,EA,1
1000000582,EA,EA,1
1000000583,EA,EA,1
1000000584,EA,EA,1
1000000585,EA,EA,1
1000000586,EA,EA,1
1000000587,EA,EA,1
1000000588,EA,EA,1
1000000589,EA,EA,1
1000000590,EA,EA,1
1000000591,EA,EA,1
1000000592,EA,EA,1
1000000593,EA,EA,1
1000000594,EA,EA,1
1000000595,EA,EA,1
1000000596,EA,EA,1
1000000597,EA,EA,1
1000000598,EA,EA,1
1000000599,EA,EA,1
1000000600,EA,EA,1
1000000601,EA,EA,1
1000000602,EA,EA,1
1000000603,EA,EA,1
1000000604,EA,EA,1
1000000605,EA,EA,1
1000000606,EA,EA,1
1000000607,EA,EA,1
1000000608,EA,EA,1
1000000609,EA,EA,1
1000000610,EA,EA,1
